Phase;T;RH;R;FF;RMM1;RMM2;RMM;Angle;Angle (+);PhaseManual
5;26.1;62;;4;1.56743;0.183437;1.578127352;83.32501384;83.32501384;2
5;27.5;61;;4;1.46909;0.41793501;1.52738178;74.11970845;74.11970845;2
5;27;68;;4;1.1591901;0.277917;1.192040078;76.51775646;76.51775646;2
5;27.4;66;;4;0.897331;0.21696299;0.92318788;76.40749365;76.40749365;2
5;27.1;76;13.2;4;0.804775;0.16206101;0.820930309;78.61437398;78.61437398;2
4;28.4;68;;4;0.99988103;-6.93E-02;1.002279684;93.9647297;93.9647297;3
4;28.2;72;;5;1.01797;-0.26914999;1.052950444;104.8100333;104.8100333;3
4;27.5;69;1;4;0.93101901;-0.20716999;0.953790229;102.5450441;102.5450441;3
5;28.4;64;;5;0.92391199;3.19E-02;0.924462533;88.02252854;88.02252854;2
5;27.6;66;;4;1.02712;0.201776;1.046751665;78.88586991;78.88586991;2
5;27.3;70;;4;1.0589499;0.43268299;1.143935951;67.77525778;67.77525778;2
5;27.9;66;;5;1.03765;0.42939699;1.122986775;67.51940698;67.51940698;2
5;28.3;67;;5;1.19787;0.803455;1.442370436;56.14880463;56.14880463;2
5;27.7;68;9;4;1.27039;1.13061;1.700638034;48.33185107;48.33185107;2
5;26.9;66;;4;1.18792;1.07732;1.603674627;47.79523801;47.79523801;2
6;27.2;60;;5;0.86159199;1.28769;1.549350281;33.78643782;33.78643782;1
6;27.6;65;;5;0.64060801;1.4687901;1.602411614;23.56426581;23.56426581;1
6;27.4;70;;4;0.60449702;1.3460701;1.475574926;24.1840315;24.1840315;1
6;28.3;64;;4;0.191902;1.20749;1.222644052;9.030287774;9.030287774;1
7;28.1;64;;4;-0.12073;1.02105;1.028162845;-6.743401727;353.2565983;8
7;28.7;66;;5;-0.39308;0.87293297;0.957352525;-24.24194421;335.7580558;8
8;28.4;70;;5;-0.87168002;0.47522801;0.992807997;-61.40138656;298.5986134;7
1;28.5;66;;4;-0.99866003;-9.17E-04;0.998660451;-90.05261071;269.9473893;6
1;28.3;64;;4;-0.99980003;-0.50994003;1.122336373;-117.0234923;242.9765077;6
1;28.7;66;;5;-1.26966;-0.75889999;1.479177376;-120.8675658;239.1324342;6
1;29.1;66;;4;-1.5321;-0.9429;1.798997171;-121.6093801;238.3906199;6
1;29.2;52;;5;-1.46983;-0.97360998;1.763041866;-123.5203445;236.4796555;6
1;27.5;71;;5;-1.3508199;-0.81576002;1.578030042;-121.1277743;238.8722257;6
1;28.3;65;;4;-1.19436;-0.53547001;1.308901807;-114.1482283;245.8517717;6
1;28.5;55;;4;-0.90359998;-8.56E-02;0.907645462;-95.41160466;264.5883953;6
8;27.6;68;;4;-0.60000998;0.175771;0.625225896;-73.672223;286.327777;7
8;27.8;69;;5;-0.38044;0.1187;0.398527645;-72.67170492;287.3282951;7
8;28.2;67;;3;-0.40896001;1.67E-02;0.409300843;-87.66160951;272.3383905;7
8;29.1;62;;5;-0.44589999;0.29532301;0.534829395;-56.48318344;303.5168166;7
8;28.2;56;;5;-0.30713001;0.29961699;0.429067808;-45.7094264;314.2905736;7
7;28.4;55;;4;-0.20994;0.225485;0.308088119;-42.95536594;317.0446341;8
7;28.4;63;;4;-0.14651;0.167015;0.222169283;-41.25810011;318.7418999;8
7;28.8;67;;5;-7.81E-02;9.94E-02;0.126411906;-38.15722659;321.8427734;8
2;28;68;;4;-0.20462;-0.32168999;0.381252927;-147.5404483;212.4595517;5
2;29.2;55;;4;-0.47411999;-0.74457002;0.882708491;-147.5122312;212.4877688;5
2;29.7;59;;5;-0.53301001;-0.89305001;1.040018265;-149.1694609;210.8305391;5
2;28.8;66;;4;-0.53792;-0.79764003;0.962074604;-146.0046901;213.9953099;5
2;30.1;55;;4;-0.67401999;-0.85255998;1.086812526;-141.6706796;218.3293204;5
2;28.3;69;;4;-0.61607999;-0.95271999;1.13456156;-147.1111181;212.8888819;5
2;28.9;68;29;4;-0.46566001;-0.79220003;0.918923355;-149.5527279;210.4472721;5
2;27.6;77;9;4;-4.89E-03;-0.90114999;0.901163257;-179.6890933;180.3109067;5
3;28.8;70;;4;0.20379101;-0.97811002;0.999114602;168.2306955;168.2306955;4
3;28.2;76;;4;0.159319;-1.11212;1.123473826;171.8474457;171.8474457;4
3;29;70;1.6;4;0.144988;-1.26621;1.274483929;173.4677685;173.4677685;4
3;29.2;68;;4;0.23463;-1.26864;1.29015452;169.5217688;169.5217688;4
3;28.7;71;12.7;3;0.42379299;-0.90161002;0.996243508;154.8245871;154.8245871;4
4;28.7;76;;5;0.90380299;-0.42893001;1.000420311;115.3882456;115.3882456;3
4;27.5;78;24.2;3;1.1586;-0.17254999;1.171378444;98.47078388;98.47078388;3
5;28.2;74;;4;1.27659;6.46E-02;1.27822345;87.10310055;87.10310055;2
5;28.4;68;0.8;3;1.35998;0.33773699;1.401289362;76.05332525;76.05332525;2
5;27;74;;3;1.32253;0.70316899;1.497842525;62.00110391;62.00110391;2
5;26.4;81;9.3;4;1.40755;0.56848103;1.518014389;68.00721203;68.00721203;2
5;28.2;70;2.7;4;1.57102;0.772506;1.750676829;63.81561282;63.81561282;2
5;28.2;78;;4;1.57977;1.01818;1.87945837;57.19775247;57.19775247;2
5;28.4;74;5.6;3;1.43969;1.03462;1.772891943;54.29743359;54.29743359;2
5;28.5;64;;4;1.23518;1.12336;1.669612926;47.71439966;47.71439966;2
6;28.2;69;;4;0.69629103;1.14832;1.342929641;31.23079058;31.23079058;1
6;27.4;78;11;3;0.440193;1.28254;1.355978882;18.94323055;18.94323055;1
6;27.9;75;;4;5.91E-02;1.10384;1.105420986;3.064710961;3.064710961;1
7;28.7;70;;3;-8.76E-02;0.94206297;0.946127052;-5.312509732;354.6874903;8
7;28.1;74;;3;-0.1096;0.97829199;0.984412199;-6.392305583;353.6076944;8
7;29.2;74;0;4;-0.2262;0.89160001;0.919846192;-14.23565829;345.7643417;8
